text,gender
Since my madre reads my site I figured I'd just say hi!,male
urlLink Jim Gallagher rules. He let me play with urlLink glass . it was beyond fun! Thank you!,male
urlLink a pic of me hooking up ppl with free stuff (funnel cake and drink) right before the concert,male
"Best news I've heard all urlLink day . I say we do a road trip to Eau Claire and...oh, nevermind.",male
That is confusing but comprehensible ok im going to bed.,male
urlLink Hey!Can u spot me....Im wearing red and white! urlLink,male
Oh no... I just got a camera and now I want a urlLink new one ...,male
"urlLink Yeah! We love bricks! But when will they make these into a house, eh?",male
Google Search Ranking Technology urlLink explained,male
"Well, it certainly made me laugh on this dreary day. Honey, I'm bored. Let's shave my pussy.",male
urlLink BBC NEWS | Science/Nature | Mini-copter stars at robot show,male
"Ho Ho all, I have full adobe photoshop, premiere, after effects, acrobat. He he RK",male
getHTMLForIcon('lightside'); --> Compo over at the AA to urlLink win an iPod .,male
"Choices | 'Sin makes its own hell, and goodness its own heaven.' -- Mary Baker Eddy",male
Thing is...I just don't want to know you. Go away.,male
"i can't believe ray charles is dead. oh wait, yes i can. he was very old.",male
"no new news, just wanted to say good night, lol..... good night :-P",male
"According to Jonnie, David Duchovney is evil incarnate. I don't know, I just don't see it.",male
HP Parts Store 317188-001 AC power adapter - 120 watt output with power factor correction (PFC),male
urlLink Night shot of pond in the rain at Mirbeau urlLink,male
Today's blog can be found over urlLink here ... :-),male
"So here ' s the question at hand: Do I , or do I not ... .paint my tuck somewhat similar to this?",male
it was actually grellow (my bad) and it's pieter's blog--------duhH?,male
Completely Random Thought #1 I wonder what it's like to be friends with a lesbian,male
"everything seems to be ok now, but that still doesn't change the fact that dreamweaver fucked up...",male
urlLink sweet! The burton AMP jacket. Built in IPod. expensive though...,male
urlLink Kyung & Jiyoung in Cape Cod Posted by urlLink Hello,male
"err... welcome to this new, easily update-able, blank page. now i'm naked",male
An alternaitive creed that was in last week's urlLink Guardian Review . I like the sentiment of it.,male
"Douglas Cordero dailey ,befogging ,ken ,nostradamus . risen ,wilcox ,partition ,humerus .",male
urlLink Los Alamos Study Group Billboards More protest billboards,male
"As a peace offering, I've made a link to the right. You're welcome.",male
Master: urlLink What kind of spanko are you? brought to you by urlLink Quizilla,male
"'Politics is opposed to morality, as philosophy to navet.' -- Emmanuel Levinas",male
"urlLink 'Welcome to Friendly Fenway, A-Rod' urlLink",male
Haven't said anything for ages. Went out last night. ehh...,male
maybe thats it - complete opposite tall slim popular blonde...,male
Thanks somewhat to me the au boards at ttv.com are even better have alook.,male
urlLink The eyes are the gate to the soul aren't they..,male
Google Banners for fictious holidays See more urlLink here . I think this one is my favorite.,male
urlLink Here is a good article about the state of the world.,male
Far easier it is to teach someone to speak their mind than to hold their tongue.,male
You're Absinthe. urlLink What Kind of Alcoholic Beverage Are You? brought to you by urlLink Quizilla,male
Can any of our readers recommend any other blogs out there that detail nights out like we do?,male
urlLink Gav the organiser. Also his engagement party =) -Shot and Posted by Paul,male
what should we have for dinner? stir fry chicken? bbq chickin? I'm taking suggestions.,male
check out urlLink this place for all the crap. America: the movie details.,male
"urlLink Port Delhousie, One of the best spots in Ontario to photograph sunsets. urlLink",male
"Yesterday afternoon I watched the Yankee game, then baby-sat from 6:00 to 12:00.",male
'It requires a very unusual mind to undertake the analysis of the obvious.' -- A. N. Whitehead,male
For some reason I enjoy reading American or cult classics... I'm not sure why.,male
urlLink What Finding Nemo Character are You? brought to you by urlLink Quizilla,male
"It don't matter how bad the fight may look , WE WILL WIN !! urlLink",male
"urlLink Here is Phoenix, I love this picture!!! urlLink",male
urlLink Lycos Search for: 'daCrib' Man! This is getting weird...and cool :D,male
"I'll start here. Just talk about the game. NO PEAS 4 ME, GOT IT?!?!?!? BEES NOT PEAS",male
Unfortunately some Italian mothers are now mourning the loss of their sons who died in Iraq.,male
Billy Safire relishes a little urlLink 'I told you so' in his latest NYT op-ed.,male
hmmm all these 'archives' belong to some loser named tim blair...,male
"urlLink DRUDGE REPORT 2003® : Developing Story... but if M$ does this, hold on folks...",male
urlLink http://www.bat-girl.com/archives/000348.html#more,male
I found this crazy urlLink story on urlLink Susan's blog,male
"hey guys, its sydney, dougie thanks for inviting me to this blog.",male
what the heck is that allen? did you make that up?,male
The Lakers dynasty is urlLink over . And I'm not crying.,male
CONGRATULATIONS KELLY ON YOUR OFFICIAL LAST DAY OF COLLEGE! HOLY FUCK!,male
... Guttermouth tonight? Hell.. what am I gonna do the rest of today? **,male
urlLink http://www.kuka.com/en/ urlLink http://www.automatica-muenchen.de,male
urlLink when jingles attack! I laughed very loudly at this. From Craigslist.,male
"Our lives are three dimensional, but our memories and our dreams are four dimensional.",male
All Active Blogging Exun Members should try the Gmail,male
"urlLink Preaching to you....from Red rocks, in Colorado.",male
'Knowledge will not always take the place of simple observation.' -- Arnold Lobel,male
ooooh questionnaires are fun where is it I wanna do it I wanna do it,male
I've chipped a tooth opening a bottle of beer. Don't do it its not safe.,male
There are 10 kinds of people in the world. One who believe in Binary system and the other who don't.,male
urlLink Proud to be a Moore fan. Seeing it as soon as I am out of the hospital. urlLink,male
eyes closed. listening.sadness. longing.hoping. dreams.wish.,male
"urlLink this little POS got me through a rash of shit in sicily, but it never really died urlLink",male
. Korean romantic comedy. 2.5 of 5. --> Just saw urlLink Singles . Korean romantic comedy. 2.5 of 5.,male
"dear school, leave me alone. how could i be failing math. uggg. thats all i can say. uggggg",male
"urlLink Hey, you looking at me? You looking at me? Dont make me meow at you! urlLink",male
This is my First blog. I will post more here in the next couple of days.,male
Cool. You can put links to your favorite sites. I like.,male
"actually, this will be number nine. #9. Can it fit in a bread box?",male
It's Ash Wednesday... And my dad gave me hotdogs for lunch... o.oU -ArV,male
urlLink MSN Entertainment - Movies: Fahrenheit 9/11,male
urlLink These girls looove to do it in the elevator! ,male
*sigh* Alam kong busy kayo pero kahit ba hi man lang rito ay hindi ninyo magawa?,male
"Pic' 13, On my latest trip, taken above Derwent gorge urlLink",male
urlLink Just thought this was pretty. Took it in my yard one morning. Part 4. urlLink,male
"urlLink When the zombies take over, how long till the electricity fails?",male
My friend Steve made these himself and they're pretty funny: ,male
A JavaScript-based fix for Internet Explorer's lack of support for transparent PNGs.,male
"The bunny is Enrique, and the Duck? Well, I'll let you name the duck.",male
"'When people dont take time out, they stop being productive.' Carisa Bianchi",male
urlLink Urban is now posting here The other one just didn't feel right i guess.,male
"urlLink Ever hear the saying 'I don't give a rat's ass'? Well, here it really has meaning...",male
"* urlLink Biz Stone, Genius * urlLink Blogging: Genius Strategies for Instant Web Content",male
urlLink SideKick II! - Engadget - www.engadget.com,male
maybe tomorrow. feeling: swirly thinking of: escape music: 'eat steak' the reverend horton heat,male
urlLink urlLink What Type of Villain are You? urlLink mutedfaith.com / urlLink,male
'And all your future lies beneath your hat.' -- John Oldham,male
Today I just hung out with Ashwin and the rest and played basketball.,male
urlLink in the changing room . haha ready to get WET !!!,male
WSJ ON THE SCALIA/CHENEY 'DUCK'-UP . urlLink 'What a crock.',male
Hate people? Really want people to stop breeding? Go urlLink here .,male
IIIIIIIIIIIIIII'M BAAAAAAAAAAAAAAAAAAAAAAAAAACK!!!,male
"whoa. i didn't know urlLink this law existed - did you know this law existed? that's whack, yo'.",male
New layout! :) Pasensha lang gd kamo ... wala na ko may ma pinsaran! hehe :D,male
urlLink http://news.bbc.co.uk/2/hi/technology/3486689.stm,male
"dauphin ,crouch ,potent ,float . coxcomb ,america ,heterogeneity ,dystrophy .",male
Kerrang radio station is now live at 105.2FM! /me has secks with radio,male
Anyone besides me miss the big Al Gore speech yesterday? It's a doozy! See it urlLink here .,male
I'm gonna go ahead and assume 'almost' is the most important word there. Now make my site prettier.,male
mabuti din naman ako rai!pano nga pala maglagay ng smileys?,male
i'm stressed out. i need more grey matter in ma brain. hehe,male
I got this from Mr. Weber's board. M R Snakes M R Knot S A R C D E D B D I's,male
"urlLink The Monkey and The Pig, same place as the last pic xD",male
urlLink MTV.com - News -Legal Guardian Appointed For Courtney Love,male
"DJS, *yawn* Wake me when JT hits Red Rocks. Signed, Stoner",male
Blogger doesnt seem to want to display posts here after they're published.,male
the wall fell and we kissed this felt like reaching the life giving oasis at the end of the desert,male
did i protect you for too long? did you even know that i did? did you drink all the ice tea?,male
As in 'it is the future'. Or were you talking about something else?,male
urlLink NeoModus - Home of Direct Connect file sharing tool,male
urlLink This guy is awesome. Talk about a proactive approach to meeting women. ;),male
Like wow I'm in love with him already . . . xBuBzx,male
Fave site: urlLink E Online . Nothing beats Entertainment news.,male
Want to see something depressing? Try to find some good news urlLink here .,male
"By the way Sophia, I will never stop swooning. SQEE!",male
I love Tom Tomorrow. urlLink Check out his latest comic .,male
So if something good happens too easily should I trust it?,male
urlLink Orla and my favourite nephew cuddle on the floor and who can blame them :) ,male
Kerrang radio station is now live at 105.2FM! /me has secks with radio,male
urlLink AAAHH... I've had this for a year and it is driving me insain! urlLink,male
why what? huh? i feel like i've been gone a year not like a week,male
Ok I have been working on my blog. I now have a chatterbox and a guestbook. So use them.,male
"urlLink The Camreon Highlands Geography Team 2003. From Left to Right- Zahier, Sabariah and Salsiah.",male
"Nihal, Donna, Neishu and me at Manori beach urlLink urlLink",male
Hmm just one shot aje.. Nikah pic took on the night.. will post some more later,male
Thanks urlLink SixFootTwo for the help with favorites. Here comes a web now.. urlLink Read more>>,male
"By looking at me you have given me your eyes; I'd have your hips, too.",male
urlLink ....Rob puckered up and thought of the lovely Nat!,male
"Delphi 9 (both Win32 and .NET) will have a foreach-construct, called for..in . urlLink Link .",male
Criticism | 'Clean your finger before you point at my spots.' -- Benjamin Franklin,male
urlLink Screwdotcom.com - The funiest website - EVER!,male
G O T H E T I G E S ! ! ! don't forget 2 check out my link (ges which team i barrack 4),male
"urlLink HOME!!!!!!! I came home on Thursday, July 22nd. urlLink",male
urlLink Ronald Reagan's hearse passes the Los Angelea Fire Department salute. urlLink,male
Went to starbucks tonight and got a Grande White Chocolate Caffe Mocha,male
"Hmm, I think I just accidentally wrote a rant about King Arthur. Still, it wasn't very good, was it?",male
"'Silly Otis-blog-making-person, behold! The Dani is here'",male
"I am considering writing an article for urlLink Relevant online... Now, what about I don't know...",male
I don't like school. I think I'll just... not go anymore.,male
"Shut up Jason, u know I already invited and u were busy",male
I am going to do much better at posting today...I swear.,male
We're at Coan Rec at 7pm again this week. Will be a longer workout than last time.,male
"[Sanctuary] • April 20, 2004 urlLink The Veils' Official Website",male
"If you'd like to make a call please hang up and try agian... Yeah, the fuckin hilarousness",male
urlLink My Way News Wow. Just to show you that more education does not mean you are smarter.,male
"Yeah, this will be an outstanding way for the new Iraqi government to come in: urlLink martial law .",male
Here's urlLink Jed Miller's take on part of the conference.,male
urlLink Real or Fake Brittney? I'l tell you later...stay tuned! SECRET REVEALED! CHECK COMMENTS!,male
[Listening to: All My LIfe- urlLink K-Ci and JoJo - (05:30)],male
"Right, Mike, I got the point EVENTUALLY. :P *smacks self* Very sad right now...",male
"Blow this for a lark, I'm out. I want to STUFF the MONKEY!",male
*Watches from afar at the ensuing spectacle* *chuckles* *leaves to go listen to 'The Diamond Sea'*,male
Please continue... There was an old women who lived in Luton,male
Just a few random websites... urlLink Not work safe urlLink Work safe,male
"That's it, that's my joke. It's the title of a short story.",male
urlLink 23.80952380952381% of me is a huge nerd! How about you?,male
"I know how you feel, but ses la vie, this too must pass",male
My Mormon name is Calbert Kaiden Chipper ! urlLink What's yours?,male
"i'm going to give you a paint enema, wee man. forcibly.",male
This is my first blog ... I am just get use to it!,male
"urlLink Sand, sun, blue sky, heat, it doesn't get any more bittersweet.",male
"urlLink Miles, doing his best impression of a Snork with my knee brace :-D urlLink",male
Why am I the only one that posts? oh well....................boring....,male
Should have posted sooner. I'm such a slowpoke. LOL I have much to do.,male
I am going to the CREED concert tonight!!! Free tix!!! AWESOME!!,male
"You're heading down a dangerous road, Fonz... it's called Spencer Pyle Avenue.",male
I'm driving to California over the break. Where should I go along the way?,male
I got a fever-- and the only prescription... is more cowbell!,male
"it's interesting , it's adventures, it is use of spare time",male
urlLink Jakob Nielsen's Alertbox: Top-10 Guidelines for Homepage Usability,male
"I have no windows in my office. For all I know, the sky could have fallen in.",male
urlLink Here is something we never had to deal with! HA HA ... only in Florida.,male
"Oh right, urlLink fighting Mel Gibson ; nevermind.",male
"And also, Emily, Tucker has as much right to be here as any one of us. Same goes to you, Carson.",male
Is this better? Or u all prefer the old one? I need soem comments..,male
urlLink Found him in the middle of the road that boarders the Smoky Hill Bombing Range. urlLink,male
"2 fried eggs, 1/2 sandwich, oj, jamba 16oz, banana, yoghurt, pearl tea, pizza",male
"Hey, I've just done an 8 hour shift- 10 till 6. I am knackered. My back aches too. Hey ho,",male
"ahhh!!! there's an angry bear chasing me around my house! help,help.",male
urlLink gallery funiture saves you MONEY! ....actually jk its my first day at work urlLink,male
"love being administrator, it is fun.hehe hahahahah hahahahah ~Daniel",male
That is my word of the day.... yesterday fun day in london i'll post details later,male
This is a really funny spoof on th urlLink Windows environment.,male
Just added these to my Beyblade collection. - Zinari 2 - Salamalyon 2 - Driger MS (Chinese Mold),male
Here... go play some urlLink Dirty Computer Games ... happy now?,male
I got pictures to work! urlLink Here's My Cousin Ellaine. (Dazzeling!!) urlLink,male
My copy of urlLink Words! Words! Words! arrived the other day. It is good.,male
Look at those amazing leans toward Kerry. More Bush-Burning!!!,male
urlLink Seagulls on a Beach. Brought to you by HaKx,male
"olympics onyl 8 days away. waiting eagerly. the schedule is here, http://www.athens2004.com",male
Read the screen.. Cat Carrier Little chick with a nice pussy!!,male
Dream. It is important to living. But don't forget to live. It is important to dreaming.,male
I'm at April's house chillin. Bout to watch a movie.,male
urlLink BigBlueBall Forums - Messenger Plus! 2.5 is here!,male
What do you get when you cross a turkey and an ostrich?,male
"I live in downtown orlando now folks: 911 N. Orange Ave. #250 Orlando, FL 32801",male
Redneck Bear urlLink Which Dysfunctional Care Bear Are You? brought to you by urlLink Quizilla,male
urlLink What Classic Movie Are You? urlLink personality tests by similarminds.com,male
urlLink Kyung's mom's side of the family Posted by urlLink Hello,male
urlLink EasyMoblog - an open source blog and moblog platform,male
"In other news, tomorrow is my written EMT test, and I am studying all tonight and tomorrow for it.",male
"urlLink Saw Brett, the crazy dude! -Shot and Posted by Paul",male
urlLink TO Overview with Will Pitt Data predates 911 and provides no new info claims experts.,male
urlLink Why should I redesign my site with Cascading Style Sheets?,male
I feel paranoid about the people at work accidentally stumbling on the site so I deleted it. Sorry,male
urlLink Just trying out Hello & Blogger - took this picture Sunday 16.05.02004 at Graiguenamanagh,male
urlLink 'Which Dysfunctional Care Bear Are You?' - Results: Justin,male
'Pressure and stress are the common cold of the psyche.' -- Andrew Denton,male
Just sat around today. Thats it. Went to the store. Played video games. Thats it.,male
'The heresy of one age becomes the orthodoxy of the next.' -- Helen Keller,male
Michigan actually has nice weather. I know it suprised me too.,male
urlLink After we came back from the temple. Anniversary Photo,male
"Linux, linux, linux, linux, linux, urlLink linux!!! , urlLink linux?!! Oh well...",male
"DF, Nope. It is Salma. I double checked. All my lovin, DJS P.S. Panda...just TRUST me.",male
'Sometimes you have to put your foot down to get a leg up.' -- Dave Weinbaum,male
Hum...not much to say. My computer is acting weird. I'm the darling? Thanks Rosie.,male
"dear rox, please join the private yahoo group soulsanctum. You' ve been invited.",male
"Invicid is a line of men’s and women’s urban t-shirts, polos, hoodies and sweatshirts. urlLink",male
"urlLink Los Angeles Central Library, Bertram Goodhue, 1925",male
I've received it yesterday? Kailan mo ba iyon pinadala?,male
"hello to all. rox,pasensia na ngayon lang ako nagpost.kumusta ka na? ano ang wicca?",male
urlLink But it's nothing that Bob can't overcome after having his morning coffee... ( urlLink via ),male
'Being good in business is the most fascinating kind of art.' -- Andy Warhol,male
i add chris into my good friends cause hes a good friend,male
Read urlLink this article about blogging and register your feedback this week in our blog:,male
urlLink Why Web services will be the Next Big Thing,male
urlLink My friend Mike and I tailgated for the Patriots' Day Game against the Yankees. urlLink,male
hum... nobody is willing to say a word about the coziest moment of his/her/its life...,male
"urlLink August 2004, Car park,Keele University, United kingdom",male
"Jer, this might interest you. A urlLink Matrix Essays blog.",male
Supply your preferred 'Son' and check out these urlLink ugly LumiÃ¨re NoÃ«l .,male
One more test. I can't seem to get the time correct,male
"urlLink Can be seen here , despite the what the Pentagon wishes...",male
"GET ME OUT OF HERE. I am back in school, of course; help me die, everyone. Jesus.",male
"Soz about the constant updating, bloody blog.....lol",male
urlLink Home with Hitler link from urlLink L.Y.D .,male
urlLink Ginger waves goodbye as she heads in to security.,male
My sister Tammy her husband Mike and their kids Nick and Sarah urlLink Robert Smith,male
"Arjun Mamu has a nice ring to it, or should it bee Mama Singh as i call my mummy :-p",male
"NO! DAMNIT, STAY WITH ME BLOG! I WILL NOT LOSE YOU TODAY!",male
Here they are... The Lone Gunmen Monkeys - Langley Monkey - Frohike Monkey - Byers Monkey,male
Modest Mouse will be on Carson Daly on Tuesday. Death Cab will be on Friday.,male
Came across urlLink Google's number theory AD . Really cool stuff these guys are up to :-) cheers -A,male
Fuck me. Just took a mental kick in the balls there.,male
"the power of Ben compels you. (repeat as needed until you get my drift, then give me a call)",male
Diligence | 'Everything yields to diligence.' -- Antiphanes,male
'I often regret that I have spoken; never that I have been silent.' -- Publilius Syrus,male
Read Dan's blog. He wrote a really really cool post! urlLink Go Dan!,male
An offer I made on a house has been accepted. Wohooo! More on this later.,male
"Winds bend trees and boughs Stormy sea, waters surge in Hello, Hurricane",male
i'm just now listening to the rapture - echoes and i just got the new strokes today from a friend.,male
"Ahhh... Lazy weekends are the best. Then again I should probably be cleaning, but what the hell...",male
These are some old pictures that make me happy. . .,male
are you still not smoking angie? how many folks on this blog smoke?,male
There's nothing like working on your back - am I right ladies? eh? eh? Yeah!,male
"And we welcome to Blogland Katie, who is the second person to notify me of their visit to my world",male
Correction..it's now only a 3 day week. I took Friday off!,male
"It's that time of year again. Merry Christmas, ya'll. urlLink White Trash Christmas",male
"urlLink Quiz - This quiz is really cool! It's extremely short, but provides great results! Wow.",male
Looks like we're dicking around again... urlLink A truce? Kill them!,male
urlLink Telegraph | Opinion | Christianity is outclassed,male
"urlLink Wendy submitted this picture of her two beautiful American Indian Dogs, Beaver and Mohawk.",male
urlLink Guardian Unlimited | Arts news | The Man in Black reaches the end of the line,male
"Are you on the urlLink TechTV | RIAA Hit List ? If you are, prepare to go to jail and pay a bundle.",male
urlLink Quiz this thing is amazing and should be seen by everyone,male
Results for 'Jai' on google pictures: More later :-},male
I'm in the mood for some Yogalates (pronounced yo-gah-lah-teez). Yooogalates.,male
The keyboard command to post (if you ever have a defunct mouse) is 'ctrl - enter'.,male
urlLink Interesting article on hip-hop and materialism,male
'Thou art become (O worst imprisonment!) The dungeon of thyself.' -- John Milton,male
"Another urlLink comment on blogging, and yet urlLink another .",male
urlLink NFONews.com - #1 Source for binary Newsgroup Posts,male
urlLink Anime News Network - Miyazaki Best Animation Director yes and he certainly deserves that. :),male
juz another fucking private number call... 2nd nuisance call of the night!!!,male
"As soon as I'm able, there'll be posts aplenty about everything and anything.",male
If you'd had urlLink one of these in the corner you're banana might have been saved.,male
I just can't think of any random thoughts. hmmmmmmmm,male
Click on the link to view urlLink striched-Cabin-view2.jpg urlLink striched-Cabin-view.jpg,male
wat happen DAT DAY click below urlLink KESTON's D-DAY,male
"Happy new year!!!! I know it's still early, but I won't be back till next year.",male
"I almost got shot in the nads. Luckily, my cock got in the way.",male
"I does not arouse me. Dave, did you see Omar from Television X in popbitch this week? Was that him?",male
http://www.wrc.com/Features.aspx?PO_ID=3245&lang=en_GB,male
"Men Aloft, Rising up Fit in body, fit in mind Kilo company!",male
manx looks like he's been added to the fan foot league OK now.,male
"The last time the Cubs won the National Leauge Penant, I was in 2nd grade. GO CUBS!!!!",male
"By the way Sophia, I will never stop swooning. SQEE!",male
"urlLink Non partisan Bono, talking to anyone to get God's work done.",male
urlLink the wreck of a world war 2 battleship behind me there urlLink,male
Supernatural Sometimes I go into a supernatural realm...just to freak people out.,male
"Started Day at 412 after consecutive losses ANA/CLE OVER 8 1/2 22 to win 20 Win to 432, Loss to 390",male
urlLink This site is just crazy. Check out the worlds largest model of the colon.,male
No...who do you think I am...Mary f***ing Poppins?!,male
I thought you guys might get a kick out out of this:,male
Are Mike and Don on vacation? Or have we alienated the crowd with the hockey talk?,male
Don't let them pass you by. I hope to one day participate in a Shaving Cream Head videocam chat.,male
Justin's urlLink back from Japan with stories and pictures.,male
urlLink I'm now going to post pictures!!! Yay! urlLink,male
"'Hi, my name is Luka. I live on the second floor.'",male
As if the cartoon and the hilarious out-take wasn't cool enough...now urlLink play the game !!!,male
"The file share at work is horribly slow - so is the Exchange server. Really, really, really slow.",male
I am and will forever be a Madonna man tori had one great album the rest didn't speak to me,male
urlLink My reaction when I saw that the flags weren't waving at the UN building.,male
I just got The Return of the King. Guess what im doing for the next three hours?,male
"erm,..damn,.. but dun u want a young husband,..? energetic and strong haa,..",male
"Play the bloody game Newton! You'll see! You'll see, it's funny hil-freakin-larious it is!!!",male
"This is my 50th post. Less posting, sooner. urlLink Read more!",male
"Place the mouse cursor over this picture, right-click and select 'Save Target As..'. Enjoy! urlLink",male
last night i pulled a 1:47.9 erg time which comes out to a 7:11.6 2K time urlLink,male
urlLink other cameron - the sound man - relaxing after a job well done. urlLink,male
TIME.com: The Matrix Reloads PHOTO COURTESY WARNER BROS.,male
'We are all apprentices in a craft where no one ever becomes a master.' -- Ernest Hemingway,male
urlLink ESPN.com - Page2 - The List: Most painful heartbreakers,male
"Oh word. Hi I'm Susan. Sobie, what up. Katy...sick. haha, ash, nice blog name",male
Well my post is the same as the title WEAR THEM!!!!!!!!!!!!,male
...a sense of accomplishment. ...restful days. ...new beginnings. What are you thankful for?,male
A good conversation is like... chicken soup for the soul,male
urlLink The final product. Grilled to perfection! urlLink,male
"this blog is shit and for gays. there, i've said it. where's ross' blog?",male
We're leaving our hotel now. I'm not sure when I'll be able to post next...,male
Finally got his mom on the phone. It only took me a total of... 6 hours!!!,male
"If you are reading this, please visit the new site at urlLink http://www.timmygunz.com",male
urlLink Can You Read The Label On The Picture ...? By Farzad .... urlLink Read more!,male
"More info on the urlLink Istanbul bombing , directly from Turkey. Courtesy of urlLink Instapundit .",male
"urlLink Me, Helen and Jo with our finished didgeridoos urlLink",male
urlLink Albino Blacksheep / Flash / Bloody Pingu Throw,male
"Hi all, Diwali Wishes from Ganesh & Valli. Wish you all a happy & safe Diwali.",male
"If I can't see 'em, you can't discuss 'em. END OF LINE",male
urlLink urlLink Reality TV Originally uploaded by urlLink H. Michael karshis .,male
"Holy crap, the urlLink Coolidge Bridge is done . I can't wait to drive it.",male
Messing around with the format. I know it's not perfect. Working on it.,male
Leave it to Ann Arbor to be one of the urlLink most overpriced places to live !,male
Hand him that disk 'Well you have a look thorugh it - see if you can find anything else on it',male
urlLink check it out ...i wonder if president hinckley has got one?,male
"never, ever give urlLink HER the password to your blog, no matter how much she pleads.",male
Well I heard from an excellent source that you did great...so I'm sticking to that.,male
urlLink Gmail to support mobile devices? Looking good! - Engadget - www.engadget.com,male
"As everyone else seems to be doing it, I have invited Toma to join my golb.",male
"Oooh, I've been lent Ikiru on DVD. I knew this day would come.",male
urlLink Some of the cranes used for unloading cargo in Galveston...pretty large contraptions.,male
"urlLink the gibson voodoo, now this is one heck of a crazy guitar. urlLink",male
urlLink Lauren and half an enthusiastic andyboy. a very blue eyed andyboy urlLink,male
"I was in the real world, for a bit, and now I am back here, in the artificial.",male
can't wait to hear it ash. anyone mind getting me an ipod for a wedding present?,male
Some self pimping - check out my blog at urlLink ~::General and urlLink ~::Computing,male
